Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats
Pelé,FUT ICONS,Brazil,Icons,99,LW,"RM,LM,RW",Shapeshifters ICON,Explosive,2570000.0,3.13%,5,5,H,M,96.0,97,94,99,61,78,"173cm | 5'8""",Unique  (70kg),2639,525,2557
Kevin De Bruyne,Manchester City,Belgium,Premier League,99,CM,CAM,Level Up Obj,Controlled,0.0,0,5,5,H,H,88.0,95,99,97,91,99,"181cm | 5'11""",Unique  (70kg),684,569,2743
Cristiano Ronaldo,Al Nassr,Portugal,MBS Pro League (SAU 1),99,ST,"CF,LW",Futties Premium,Controlled,0.0,0,5,5,H,L,97.0,99,93,97,41,88,"187cm | 6'2""",CR7  (83kg),3130,515,2499
Lionel Messi,Inter Miami CF,Argentina,Major League Soccer,99,ST,"RM,RW",Futties Premium,Controlled,11990000.0,62.03%,5,5,H,L,95.0,98,99,99,41,81,"169cm | 5'7""",Messi  (67kg),1928,513,2506
Neymar Jr,Paris SG,Brazil,Ligue 1,99,CAM,"LM,LW",Futties,Explosive,5300000.0,3.93%,5,5,H,M,99.0,96,95,99,50,78,"175cm | 5'9""",Neymar  (68kg),911,517,2531
Kylian Mbappé,Paris SG,France,Ligue 1,99,ST,"CF,LW",Futties,Controlled,8900000.0,2.18%,5,5,H,L,99.0,98,92,99,45,87,"182cm | 6'0""",Unique  (73kg),663,520,2497
Zinedine Zidane,FUT ICONS,France,Icons,99,CAM,CM,Cover Star Icon SBC,Controlled,1490000.0,5.46%,5,5,M,M,92.0,96,99,97,87,90,"185cm | 6'1""",Average  (77kg),3345,561,2722
Karim Benzema,Al Ittihad,France,MBS Pro League (SAU 1),99,CF,ST,Futties Premium,Controlled,1920000.0,1.33%,5,5,H,M,97.0,99,93,98,50,97,"185cm | 6'1""",Average  (81kg),684,534,2559
Pelé,FUT ICONS,Brazil,Icons,98,CAM,"CF,ST",Icon,Explosive,931000.0,4.61%,5,4,H,M,95.0,96,93,96,60,76,"173cm | 5'8""",Unique  (70kg),4373,516,2513
Lionel Messi,Paris SG,Argentina,Ligue 1,98,RW,RM,TOTY,Controlled,705000.0,0.71%,4,4,H,L,93.0,98,97,99,40,77,"169cm | 5'7""",Messi  (67kg),5881,504,2469
Jude Bellingham,Dortmund,England,Bundesliga,97,CM,"CDM,LM",TOTS,Controlled,193000.0,4.32%,4,5,H,H,90.0,90,94,98,93,94,"186cm | 6'1""",High & Average+  (75kg),2045,559,2647
Jamal Musiala,FC Bayern,Germany,Bundesliga,97,CAM,"CM,LM",TOTS,Controlled,49500.0,1.02%,5,4,H,M,94.0,88,92,98,81,86,"183cm | 6'0""",Lean  (70kg),1853,539,2536
Robert Lewandowski,FC Barcelona,Poland,LaLiga Santander,97,ST,CF,TOTS,Controlled,58000.0,4.92%,4,5,H,M,90.0,99,86,93,51,90,"185cm | 6'1""",Unique  (81kg),3009,509,2473
Karim Benzema,Real Madrid,France,LaLiga Santander,97,CF,ST,TOTS,Lengthy,323000.0,15.36%,5,4,H,M,93.0,96,89,93,45,94,"185cm | 6'1""",Average  (81kg),764,510,2455
Luka Modric,Real Madrid,Croatia,LaLiga Santander,97,CM,0,TOTS,Explosive,24250.0,7.78%,4,5,H,M,87.0,87,99,99,86,84,"172cm | 5'8""",Lean  (66kg),2601,542,2643
Kylian Mbappé,Paris SG,France,Ligue 1,97,ST,"CF,LW",TOTS,Controlled,1950000.0,2.58%,5,4,H,L,99.0,97,87,99,43,85,"182cm | 6'0""",Unique  (73kg),1283,510,2440
Rafael Leão,Milan,Portugal,Serie A TIM,97,LW,LM,TOTS,Controlled,195000.0,8.33%,5,4,M,L,99.0,93,89,98,40,91,"188cm | 6'2""",High & Average  (81kg),1736,510,2409
Victor Osimhen,Napoli,Nigeria,Serie A TIM,97,ST,CF,TOTS,Controlled,120000.0,8.40%,4,5,H,M,99.0,97,82,94,55,95,"185cm | 6'1""",High & Average+  (78kg),1456,522,2461
Toni Kroos,Real Madrid,Germany,LaLiga Santander,97,CDM,"CAM,CF",Shapeshifters Obj,Controlled,0.0,0,5,5,H,H,90.0,87,96,93,92,90,"183cm | 6'0""",Average  (76kg),6029,548,2635
Kylian Mbappé,Paris SG,France,Ligue 1,97,ST,"CF,LW",Award Winner,Controlled,2480000.0,1.55%,5,4,H,L,99.0,97,87,99,43,85,"182cm | 6'0""",Unique  (73kg),93,510,2440
Marcos Llorente,Atlético de Madrid,Spain,LaLiga Santander,97,CM,"RB,RM",Futties SBC,Controlled,330250.0,0,4,5,H,M,97.0,92,95,96,94,93,"184cm | 6'0""",Lean  (74kg),3104,567,2672
Jan Oblak,Atlético de Madrid,Slovenia,LaLiga Santander,97,GK,0,Futties,Controlled,56500.0,13.00%,2,4,M,M,95.0,98,88,97,57,96,"188cm | 6'2""",Unique  (87kg),796,531,1056
David Alaba,Real Madrid,Austria,LaLiga Santander,97,CB,"LB,CDM",Futties,Controlled,665000.0,5.00%,3,5,M,H,91.0,85,96,94,98,94,"180cm | 5'11""",Average  (78kg),678,558,2711
Xabi Alonso,FUT ICONS,Spain,Icons,97,CDM,CM,Cover Star Icon,Controlled,353100.0,2.69%,5,5,M,H,93.0,94,98,95,95,94,"183cm | 6'0""",Average  (77kg),2623,569,2752
